PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Defect Rate%,Compliance,Compliance Numeric Score,Order_Amount,Saved Amount,Defected Unit amount,Deli Time taken,Deliv_Performance,Missing date flag
PO-00162,Alpha_Inc,10-04-2023,21-04-2023,Office Supplies,Delivered,552,60.48,56.78,10,2%,Yes,1,31342.56,2042.4,567.8,11,11-15,Valid
PO-00163,Gamma_Co,04-01-2022,12-01-2022,Packaging,Delivered,456,80.53,77.86,26,6%,Yes,1,35504.16,1217.52,2024.36,8,6-10,Valid
PO-00164,Delta_Logistics,27-09-2022,05-10-2022,Packaging,Delivered,1647,47.52,44.92,0,0%,Yes,1,73983.24,4282.2,0,8,6-10,Valid
PO-00165,Epsilon_Group,28-05-2023,11-06-2023,Electronics,Pending,1801,71.27,61.24,43,2%,Yes,1,110293.24,18064.03,2633.32,14,11-15,Valid
PO-00166,Gamma_Co,02-07-2022,18-07-2022,Electronics,Delivered,854,90.24,85.53,0,0%,Yes,1,73042.62,4022.34,0,16,16-20,Valid
PO-00167,Delta_Logistics,04-06-2023,17-06-2023,Electronics,Delivered,148,103.57,98.62,23,16%,No,0,14595.76,732.6,2268.26,13,11-15,Valid
PO-00168,Delta_Logistics,19-04-2022,24-04-2022,MRO,Delivered,733,23.59,22.85,92,13%,Yes,1,16749.05,542.42,2102.2,5,0-5,Valid
PO-00169,Beta_Supplies,03-10-2023,05-10-2023,Raw Materials,Delivered,1945,103.2,88.56,0,0%,Yes,1,172249.2,28474.8,0,2,0-5,Valid
PO-00170,Gamma_Co,02-11-2022,21-11-2022,Raw Materials,Delivered,775,57,49.14,48,6%,Yes,1,38083.5,6091.5,2358.72,19,16-20,Valid
PO-00171,Delta_Logistics,17-10-2023,21-10-2023,Packaging,Delivered,1620,36.73,33.45,235,15%,No,0,54189,5313.6,7860.75,4,0-5,Valid
PO-00172,Beta_Supplies,04-06-2023,19-06-2023,Office Supplies,Delivered,1010,55.68,50.86,0,0%,Yes,1,51368.6,4868.2,0,15,11-15,Valid
PO-00173,Epsilon_Group,16-09-2023,01-10-2023,Office Supplies,Delivered,1812,108.02,101.02,51,3%,Yes,1,183048.24,12684,5152.02,15,11-15,Valid
PO-00174,Delta_Logistics,23-07-2022,28-07-2022,Office Supplies,Delivered,662,55.97,50,100,15%,Yes,1,33100,3952.14,5000,5,0-5,Valid
PO-00175,Beta_Supplies,06-06-2022,11-06-2022,Office Supplies,Pending,1535,40.58,38.71,165,11%,Yes,1,59419.85,2870.45,6387.15,5,0-5,Valid
PO-00176,Beta_Supplies,18-01-2023,27-01-2023,Raw Materials,Delivered,692,71.03,67.74,70,10%,Yes,1,46876.08,2276.68,4741.8,9,6-10,Valid
PO-00177,Gamma_Co,15-06-2022,28-06-2022,MRO,Delivered,1842,32.4,28.08,96,5%,Yes,1,51723.36,7957.44,2695.68,13,11-15,Valid
PO-00178,Beta_Supplies,07-07-2023,18-07-2023,Office Supplies,Cancelled,1078,18.34,17.41,102,9%,Yes,1,18767.98,1002.54,1775.82,11,11-15,Valid
PO-00179,Delta_Logistics,28-06-2023,16-07-2023,Packaging,Delivered,1291,23.44,22.23,0,0%,Yes,1,28698.93,1562.11,0,18,16-20,Valid
PO-00180,Alpha_Inc,01-01-2022,12-01-2022,Electronics,Delivered,552,21.52,18.79,13,2%,Yes,1,10372.08,1506.96,244.27,11,11-15,Valid
PO-00181,Epsilon_Group,06-09-2023,22-09-2023,Electronics,Delivered,816,26.04,25.61,28,3%,Yes,1,20897.76,350.88,717.08,16,16-20,Valid
PO-00182,Delta_Logistics,28-11-2022,30-11-2022,Packaging,Delivered,447,23.62,21.81,50,11%,Yes,1,9749.07,809.07,1090.5,2,0-5,Valid
PO-00183,Delta_Logistics,16-05-2023,24-05-2023,Packaging,Partially Delivered,920,73.09,70.14,0,0%,Yes,1,64528.8,2714,0,8,6-10,Valid
PO-00184,Epsilon_Group,20-01-2022,30-01-2022,Packaging,Partially Delivered,844,26.37,25.08,38,5%,Yes,1,21167.52,1088.76,953.04,10,6-10,Valid
PO-00185,Epsilon_Group,25-04-2022,,MRO,Delivered,442,41.73,36.45,15,3%,Yes,1,16110.9,2333.76,546.75,Not Updated,Not Updated,Missing
PO-00186,Beta_Supplies,07-01-2023,21-01-2023,Electronics,Cancelled,256,96.15,83.44,26,10%,Yes,1,21360.64,3253.76,2169.44,14,11-15,Valid
PO-00187,Delta_Logistics,11-11-2022,,MRO,Partially Delivered,1088,55.29,53.04,161,15%,No,0,57707.52,2448,8539.44,In Process,In Process,Valid
PO-00188,Beta_Supplies,03-09-2022,07-09-2022,Office Supplies,Delivered,1931,72.88,64.69,187,10%,Yes,1,124916.39,15814.89,12097.03,4,0-5,Valid
PO-00189,Gamma_Co,01-03-2022,11-03-2022,Electronics,Delivered,1627,25.76,25.09,74,5%,Yes,1,40821.43,1090.09,1856.66,10,6-10,Valid
PO-00190,Beta_Supplies,04-09-2022,,Packaging,Delivered,941,28.4,27.21,0,0%,No,0,25604.61,1119.79,0,Not Updated,Not Updated,Missing
PO-00191,Gamma_Co,04-08-2023,06-08-2023,MRO,Delivered,1534,14.98,12.79,0,0%,Yes,1,19619.86,3359.46,0,2,0-5,Valid
PO-00192,Alpha_Inc,22-03-2022,03-04-2022,Raw Materials,Delivered,1764,25.46,24.52,46,3%,Yes,1,43253.28,1658.16,1127.92,12,11-15,Valid
PO-00193,Delta_Logistics,29-03-2022,06-04-2022,Electronics,Delivered,1648,35.42,31.46,0,0%,No,0,51846.08,6526.08,0,8,6-10,Valid
PO-00194,Gamma_Co,13-05-2023,01-06-2023,Packaging,Delivered,913,28.01,24.06,53,6%,Yes,1,21966.78,3606.35,1275.18,19,16-20,Valid
PO-00195,Alpha_Inc,12-03-2022,18-03-2022,Packaging,Cancelled,792,18.16,17.25,17,2%,Yes,1,13662,720.72,293.25,6,6-10,Valid
PO-00196,Epsilon_Group,30-06-2023,03-07-2023,Office Supplies,Partially Delivered,1314,22.63,21.06,44,3%,Yes,1,27672.84,2062.98,926.64,3,0-5,Valid
PO-00197,Beta_Supplies,09-05-2022,22-05-2022,MRO,Delivered,613,52.5,45.19,70,11%,Yes,1,27701.47,4481.03,3163.3,13,11-15,Valid
PO-00198,Alpha_Inc,12-05-2022,20-05-2022,Office Supplies,Delivered,1070,29.14,26.63,24,2%,Yes,1,28494.1,2685.7,639.12,8,6-10,Valid
PO-00199,Gamma_Co,07-11-2023,26-11-2023,Raw Materials,Partially Delivered,145,47.49,42.76,6,4%,Yes,1,6200.2,685.85,256.56,19,16-20,Valid
PO-00200,Delta_Logistics,02-05-2023,17-05-2023,Raw Materials,Delivered,1973,59.73,54.95,291,15%,Yes,1,108416.35,9430.94,15990.45,15,11-15,Valid
PO-00201,Epsilon_Group,17-07-2023,01-08-2023,Office Supplies,Delivered,1807,78.63,73.08,100,6%,Yes,1,132055.56,10028.85,7308,15,11-15,Valid
PO-00202,Epsilon_Group,19-06-2022,20-06-2022,Electronics,Delivered,534,13.88,12.51,100,19%,Yes,1,6680.34,731.58,1251,1,0-5,Valid
PO-00203,Alpha_Inc,29-09-2022,14-10-2022,Electronics,Delivered,1480,85.22,75.48,100,7%,Yes,1,111710.4,14415.2,7548,15,11-15,Valid
PO-00204,Alpha_Inc,25-06-2023,,Office Supplies,Delivered,280,72.16,62.38,100,36%,Yes,1,17466.4,2738.4,6238,Not Updated,Not Updated,Missing
PO-00205,Beta_Supplies,14-09-2023,20-09-2023,Office Supplies,Cancelled,798,19.09,17.76,100,13%,Yes,1,14172.48,1061.34,1776,6,6-10,Valid
PO-00206,Epsilon_Group,10-03-2023,22-03-2023,Electronics,Delivered,1728,94.83,90.2,100,6%,Yes,1,155865.6,8000.64,9020,12,11-15,Valid
PO-00207,Epsilon_Group,05-08-2022,,MRO,Delivered,1244,96.13,84.78,43,3%,Yes,1,105466.32,14119.4,3645.54,Not Updated,Not Updated,Missing
PO-00208,Beta_Supplies,07-07-2023,21-07-2023,Office Supplies,Delivered,590,16.89,15.56,46,8%,No,0,9180.4,784.7,715.76,14,11-15,Valid
PO-00209,Delta_Logistics,08-12-2023,23-12-2023,Packaging,Delivered,1109,38.93,33.33,152,14%,Yes,1,36962.97,6210.4,5066.16,15,11-15,Valid
PO-00210,Beta_Supplies,25-07-2022,01-08-2022,MRO,Delivered,574,85.03,82.55,54,9%,Yes,1,47383.7,1423.52,4457.7,7,6-10,Valid
PO-00211,Gamma_Co,01-01-2024,,Office Supplies,Delivered,1233,86.62,76.59,65,5%,Yes,1,94435.47,12366.99,4978.35,Not Updated,Not Updated,Missing
PO-00212,Gamma_Co,16-11-2022,20-11-2022,Packaging,Delivered,1912,27.94,25.59,83,4%,No,0,48928.08,4493.2,2123.97,4,0-5,Valid
PO-00213,Alpha_Inc,13-02-2023,04-03-2023,Packaging,Delivered,1772,30.72,27.76,46,3%,No,0,49190.72,5245.12,1276.96,19,16-20,Valid
PO-00214,Beta_Supplies,19-11-2023,29-11-2023,Office Supplies,Delivered,1316,48.11,41.9,135,10%,Yes,1,55140.4,8172.36,5656.5,10,6-10,Valid
PO-00215,Beta_Supplies,28-10-2023,,Office Supplies,Delivered,1159,59.24,58.08,0,0%,Yes,1,67314.72,1344.44,0,Not Updated,Not Updated,Missing
PO-00216,Alpha_Inc,18-01-2023,31-01-2023,Office Supplies,Delivered,1869,69.58,67.5,31,2%,Yes,1,126157.5,3887.52,2092.5,13,11-15,Valid
PO-00217,Delta_Logistics,25-03-2023,13-04-2023,Packaging,Delivered,627,46.23,42.87,0,0%,Yes,1,26879.49,2106.72,0,19,16-20,Valid
PO-00218,Beta_Supplies,14-06-2023,16-06-2023,Raw Materials,Pending,731,56.02,54.78,70,10%,No,0,40044.18,906.44,3834.6,2,0-5,Valid
PO-00219,Epsilon_Group,08-04-2023,,Office Supplies,Cancelled,606,83.07,79.22,16,3%,Yes,1,48007.32,2333.1,1267.52,Pending/Cancelled,Pending/Cancelled,Valid
PO-00220,Beta_Supplies,04-05-2022,14-05-2022,Office Supplies,Delivered,1647,13.57,12.33,157,10%,Yes,1,20307.51,2042.28,1935.81,10,6-10,Valid
PO-00221,Delta_Logistics,11-09-2022,19-09-2022,MRO,Delivered,1062,34.03,30.46,0,0%,Yes,1,32348.52,3791.34,0,8,6-10,Valid
PO-00222,Beta_Supplies,19-08-2022,31-08-2022,Office Supplies,Delivered,695,76.8,69.76,0,0%,No,0,48483.2,4892.8,0,12,11-15,Valid
PO-00223,Epsilon_Group,07-03-2022,14-03-2022,MRO,Delivered,845,91.47,86.97,0,0%,Yes,1,73489.65,3802.5,0,7,6-10,Valid
PO-00224,Gamma_Co,13-12-2022,18-12-2022,MRO,Delivered,1101,59.13,52.51,54,5%,Yes,1,57813.51,7288.62,2835.54,5,0-5,Valid
PO-00225,Gamma_Co,22-01-2022,24-01-2022,Raw Materials,Delivered,1693,57.89,49.84,88,5%,Yes,1,84379.12,13628.65,4385.92,2,0-5,Valid
PO-00226,Delta_Logistics,26-08-2023,10-09-2023,Office Supplies,Cancelled,1629,21.51,19.41,250,15%,No,0,31618.89,3420.9,4852.5,15,11-15,Valid
PO-00227,Delta_Logistics,22-07-2023,03-08-2023,Raw Materials,Delivered,1413,54.79,50.42,0,0%,Yes,1,71243.46,6174.81,0,12,11-15,Valid
PO-00228,Epsilon_Group,24-08-2022,27-08-2022,Packaging,Delivered,1871,59.96,58.54,47,3%,Yes,1,109528.34,2656.82,2751.38,3,0-5,Valid
PO-00229,Gamma_Co,26-08-2023,,Raw Materials,Delivered,1404,34.85,30.5,78,6%,Yes,1,42822,6107.4,2379,Not Updated,Not Updated,Missing
PO-00230,Gamma_Co,14-08-2022,28-08-2022,Electronics,Delivered,1713,35.43,34.11,74,4%,Yes,1,58430.43,2261.16,2524.14,14,11-15,Valid
PO-00231,Gamma_Co,08-01-2022,13-01-2022,Electronics,Delivered,1579,43.96,43.41,74,5%,Yes,1,68544.39,868.45,3212.34,5,0-5,Valid
PO-00232,Gamma_Co,14-03-2022,26-03-2022,Electronics,Delivered,1421,11.92,11.72,76,5%,Yes,1,16654.12,284.2,890.72,12,11-15,Valid
PO-00233,Epsilon_Group,26-12-2023,04-01-2024,MRO,Delivered,1546,43.47,37.37,53,3%,Yes,1,57774.02,9430.6,1980.61,9,6-10,Valid
PO-00234,Delta_Logistics,09-10-2023,18-10-2023,Electronics,Delivered,1304,32.08,29.36,0,0%,Yes,1,38285.44,3546.88,0,9,6-10,Valid
PO-00235,Delta_Logistics,02-03-2022,,Raw Materials,Delivered,239,39.87,35.47,32,13%,Yes,1,8477.33,1051.6,1135.04,Not Updated,Not Updated,Missing
PO-00236,Alpha_Inc,23-08-2022,,Office Supplies,Delivered,1298,21.51,20.83,0,0%,Yes,1,27037.34,882.64,0,Not Updated,Not Updated,Missing
PO-00237,Delta_Logistics,11-03-2022,,MRO,Delivered,1458,91.05,81.56,220,15%,Yes,1,118914.48,13836.42,17943.2,Not Updated,Not Updated,Missing
PO-00238,Gamma_Co,02-02-2022,13-02-2022,MRO,Delivered,1450,63.74,59.11,71,5%,Yes,1,85709.5,6713.5,4196.81,11,11-15,Valid
PO-00239,Beta_Supplies,05-12-2022,20-12-2022,Electronics,Delivered,1356,75.03,63.86,131,10%,Yes,1,86594.16,15146.52,8365.66,15,11-15,Valid
PO-00240,Gamma_Co,14-03-2022,,Packaging,Delivered,682,81.84,71.86,40,6%,Yes,1,49008.52,6806.36,2874.4,Not Updated,Not Updated,Missing
PO-00241,Gamma_Co,11-06-2023,19-06-2023,Packaging,Delivered,677,59.52,55.29,39,6%,Yes,1,37431.33,2863.71,2156.31,8,6-10,Valid
PO-00242,Delta_Logistics,01-09-2022,14-09-2022,Office Supplies,Delivered,1022,18.54,16.55,150,15%,Yes,1,16914.1,2033.78,2482.5,13,11-15,Valid
PO-00243,Alpha_Inc,13-10-2022,,Raw Materials,Delivered,1818,60.96,57.13,41,2%,Yes,1,103862.34,6962.94,2342.33,Not Updated,Not Updated,Missing
PO-00244,Epsilon_Group,17-11-2023,29-11-2023,Electronics,Delivered,1332,69.73,63.8,41,3%,Yes,1,84981.6,7898.76,2615.8,12,11-15,Valid
PO-00245,Beta_Supplies,13-05-2023,26-05-2023,Raw Materials,Delivered,1432,83.26,77.67,174,12%,Yes,1,111223.44,8004.88,13514.58,13,11-15,Valid
PO-00246,Beta_Supplies,08-08-2022,26-08-2022,Packaging,Pending,759,50.56,46.47,63,8%,No,0,35270.73,3104.31,2927.61,18,16-20,Valid
PO-00247,Alpha_Inc,07-07-2023,19-07-2023,Packaging,Delivered,1529,23.42,22.44,30,2%,Yes,1,34310.76,1498.42,673.2,12,11-15,Valid
PO-00248,Gamma_Co,16-05-2022,25-05-2022,Electronics,Delivered,1484,36.25,31.8,61,4%,Yes,1,47191.2,6603.8,1939.8,9,6-10,Valid
PO-00249,Epsilon_Group,08-08-2023,20-08-2023,Packaging,Delivered,698,46.73,45.61,15,2%,Yes,1,31835.78,781.76,684.15,12,11-15,Valid
PO-00250,Epsilon_Group,14-08-2023,22-08-2023,Packaging,Pending,367,74.61,71.36,13,4%,Yes,1,26189.12,1192.75,927.68,8,6-10,Valid
PO-00251,Epsilon_Group,30-04-2023,20-05-2023,Office Supplies,Partially Delivered,1750,65.97,58.34,50,3%,Yes,1,102095,13352.5,2917,20,16-20,Valid
PO-00252,Delta_Logistics,06-09-2022,24-09-2022,Office Supplies,Partially Delivered,1298,43.73,37.21,0,0%,No,0,48298.58,8462.96,0,18,16-20,Valid
PO-00253,Gamma_Co,30-04-2023,20-05-2023,Packaging,Delivered,1892,106.2,96.37,93,5%,Yes,1,182332.04,18598.36,8962.41,20,16-20,Valid
PO-00254,Beta_Supplies,21-02-2023,24-02-2023,Electronics,Delivered,1307,68.71,60.64,141,11%,Yes,1,79256.48,10547.49,8550.24,3,0-5,Valid
PO-00255,Beta_Supplies,14-07-2022,29-07-2022,Electronics,Delivered,733,32.29,29.01,78,11%,Yes,1,21264.33,2404.24,2262.78,15,11-15,Valid
PO-00256,Gamma_Co,07-04-2022,,Packaging,Delivered,713,19.45,18.82,31,4%,Yes,1,13418.66,449.19,583.42,Not Updated,Not Updated,Missing
PO-00257,Beta_Supplies,10-04-2022,24-04-2022,Packaging,Delivered,1900,24.11,23.45,188,10%,Yes,1,44555,1254,4408.6,14,11-15,Valid
PO-00258,Delta_Logistics,06-11-2023,08-11-2023,MRO,Cancelled,1447,35.67,35.07,224,15%,No,0,50746.29,868.2,7855.68,2,0-5,Valid
PO-00259,Epsilon_Group,18-03-2023,,Office Supplies,Delivered,1745,26.17,22.25,55,3%,Yes,1,38826.25,6840.4,1223.75,Not Updated,Not Updated,Missing
PO-00260,Beta_Supplies,29-12-2022,14-01-2023,Office Supplies,Delivered,1681,28.26,26.62,143,9%,Yes,1,44748.22,2756.84,3806.66,16,16-20,Valid
PO-00261,Delta_Logistics,10-03-2023,18-03-2023,Electronics,Delivered,1545,38.15,36.96,214,14%,Yes,1,57103.2,1838.55,7909.44,8,6-10,Valid
PO-00262,Epsilon_Group,25-02-2023,02-03-2023,Raw Materials,Delivered,1306,27.27,25.96,39,3%,Yes,1,33903.76,1710.86,1012.44,5,0-5,Valid
PO-00263,Gamma_Co,24-04-2023,06-05-2023,Raw Materials,Delivered,1765,97.51,84.3,65,4%,Yes,1,148789.5,23315.65,5479.5,12,11-15,Valid
PO-00264,Gamma_Co,25-02-2022,15-03-2022,Packaging,Cancelled,1186,17.31,16,64,5%,Yes,1,18976,1553.66,1024,18,16-20,Valid
PO-00265,Delta_Logistics,21-11-2023,26-11-2023,Packaging,Delivered,1903,63.5,56.09,254,13%,Yes,1,106739.27,14101.23,14246.86,5,0-5,Valid
PO-00266,Delta_Logistics,01-11-2023,05-11-2023,MRO,Delivered,1570,52.1,47.87,0,0%,No,0,75155.9,6641.1,0,4,0-5,Valid
PO-00267,Delta_Logistics,24-10-2023,13-11-2023,MRO,Delivered,491,108.75,93.35,0,0%,No,0,45834.85,7561.4,0,20,16-20,Valid
PO-00268,Beta_Supplies,11-04-2022,20-04-2022,Electronics,Partially Delivered,613,20.38,20.17,58,9%,Yes,1,12364.21,128.73,1169.86,9,6-10,Valid
PO-00269,Gamma_Co,04-03-2022,16-03-2022,Raw Materials,Partially Delivered,1341,46.27,43.94,63,5%,Yes,1,58923.54,3124.53,2768.22,12,11-15,Valid
PO-00270,Beta_Supplies,17-02-2023,04-03-2023,MRO,Partially Delivered,1583,103.57,89.38,164,10%,Yes,1,141488.54,22462.77,14658.32,15,11-15,Valid
PO-00271,Beta_Supplies,14-12-2022,,Raw Materials,Cancelled,1880,92.73,90.78,173,9%,Yes,1,170666.4,3666,15704.94,Pending/Cancelled,Pending/Cancelled,Valid
PO-00272,Epsilon_Group,22-04-2022,26-04-2022,MRO,Delivered,1459,84.79,82.72,47,3%,Yes,1,120688.48,3020.13,3887.84,4,0-5,Valid
PO-00273,Delta_Logistics,12-09-2022,,Office Supplies,Delivered,1460,34.54,31.87,208,14%,No,0,46530.2,3898.2,6628.96,Not Updated,Not Updated,Missing
PO-00274,Beta_Supplies,16-07-2022,28-07-2022,Packaging,Partially Delivered,1186,26.14,24.78,112,9%,Yes,1,29389.08,1612.96,2775.36,12,11-15,Valid
PO-00275,Epsilon_Group,14-07-2022,23-07-2022,MRO,Pending,1686,72.28,65.21,53,3%,Yes,1,109944.06,11920.02,3456.13,9,6-10,Valid
PO-00276,Alpha_Inc,04-07-2023,08-07-2023,MRO,Delivered,1698,102.07,100.69,28,2%,Yes,1,170971.62,2343.24,2819.32,4,0-5,Valid
PO-00277,Epsilon_Group,05-04-2023,,Electronics,Delivered,1001,64.62,55.7,32,3%,Yes,1,55755.7,8928.92,1782.4,Not Updated,Not Updated,Missing
PO-00278,Alpha_Inc,24-05-2022,27-05-2022,Office Supplies,Delivered,1154,62.67,54.11,25,2%,Yes,1,62442.94,9878.24,1352.75,3,0-5,Valid
PO-00279,Alpha_Inc,09-03-2023,29-03-2023,Packaging,Cancelled,748,37.66,32.71,0,0%,No,0,24467.08,3702.6,0,20,16-20,Valid
PO-00280,Alpha_Inc,07-07-2022,,Office Supplies,Delivered,162,81.63,78.76,2,1%,Yes,1,12759.12,464.94,157.52,Not Updated,Not Updated,Missing
PO-00281,Alpha_Inc,13-10-2022,24-10-2022,Packaging,Delivered,51,28.04,24.13,0,0%,Yes,1,1230.63,199.41,0,11,11-15,Valid
PO-00282,Delta_Logistics,19-04-2023,24-04-2023,Office Supplies,Delivered,691,42.07,39.1,106,15%,Yes,1,27018.1,2052.27,4144.6,5,0-5,Valid
PO-00283,Beta_Supplies,13-09-2022,20-09-2022,Office Supplies,Delivered,269,50.22,45.75,32,12%,No,0,12306.75,1202.43,1464,7,6-10,Valid
PO-00284,Beta_Supplies,19-03-2022,06-04-2022,Electronics,Pending,1639,56.24,55.4,147,9%,Yes,1,90800.6,1376.76,8143.8,18,16-20,Valid
PO-00285,Alpha_Inc,30-03-2023,06-04-2023,Raw Materials,Delivered,904,34.04,30.06,26,3%,Yes,1,27174.24,3597.92,781.56,7,6-10,Valid
PO-00286,Beta_Supplies,18-07-2023,26-07-2023,Office Supplies,Delivered,1809,22.17,19.65,0,0%,Yes,1,35546.85,4558.68,0,8,6-10,Valid
PO-00287,Alpha_Inc,11-04-2022,16-04-2022,Packaging,Delivered,1298,65.93,58.95,0,0%,Yes,1,76517.1,9060.04,0,5,0-5,Valid
PO-00288,Beta_Supplies,21-02-2022,13-03-2022,Packaging,Delivered,434,36.16,34.79,41,9%,Yes,1,15098.86,594.58,1426.39,20,16-20,Valid
PO-00289,Epsilon_Group,30-10-2023,04-11-2023,Electronics,Delivered,1476,68.85,65.28,43,3%,Yes,1,96353.28,5269.32,2807.04,5,0-5,Valid
PO-00290,Delta_Logistics,08-07-2023,,Raw Materials,Partially Delivered,1711,26.04,24.81,290,17%,Yes,1,42449.91,2104.53,7194.9,In Process,In Process,Valid
PO-00291,Gamma_Co,16-01-2022,22-01-2022,Packaging,Delivered,1203,53.3,47.68,49,4%,Yes,1,57359.04,6760.86,2336.32,6,6-10,Valid
PO-00292,Alpha_Inc,06-04-2022,07-04-2022,Electronics,Delivered,1126,58.8,52.22,0,0%,Yes,1,58799.72,7409.08,0,1,0-5,Valid
PO-00293,Epsilon_Group,31-08-2022,12-09-2022,Packaging,Delivered,1757,15.18,13.06,63,4%,Yes,1,22946.42,3724.84,822.78,12,11-15,Valid
PO-00294,Epsilon_Group,20-06-2022,28-06-2022,MRO,Delivered,779,41.3,36.28,20,3%,Yes,1,28262.12,3910.58,725.6,8,6-10,Valid
PO-00295,Delta_Logistics,21-02-2023,22-02-2023,Office Supplies,Delivered,1745,23.53,22.57,282,16%,No,0,39384.65,1675.2,6364.74,1,0-5,Valid
PO-00296,Delta_Logistics,13-05-2023,15-05-2023,Raw Materials,Delivered,1783,16.96,15.8,295,17%,Yes,1,28171.4,2068.28,4661,2,0-5,Valid
PO-00297,Alpha_Inc,08-05-2023,22-05-2023,Office Supplies,Partially Delivered,1489,107.02,93.3,0,0%,Yes,1,138923.7,20429.08,0,14,11-15,Valid
PO-00298,Alpha_Inc,07-08-2022,10-08-2022,Office Supplies,Delivered,296,40.38,35.25,0,0%,Yes,1,10434,1518.48,0,3,0-5,Valid
PO-00299,Epsilon_Group,15-02-2023,27-02-2023,MRO,Delivered,885,88.28,80.8,31,4%,Yes,1,71508,6619.8,2504.8,12,11-15,Valid
PO-00300,Epsilon_Group,02-03-2022,06-03-2022,Raw Materials,Pending,1512,33.25,30.15,53,4%,Yes,1,45586.8,4687.2,1597.95,4,0-5,Valid
PO-00301,Delta_Logistics,18-06-2022,26-06-2022,Office Supplies,Delivered,252,73.12,67.64,0,0%,No,0,17045.28,1380.96,0,8,6-10,Valid
PO-00302,Alpha_Inc,24-01-2023,,Electronics,Cancelled,1257,83.13,81.89,30,2%,Yes,1,102935.73,1558.68,2456.7,Pending/Cancelled,Pending/Cancelled,Valid
PO-00303,Alpha_Inc,03-01-2022,20-01-2022,Packaging,Delivered,172,63.61,55.92,4,2%,Yes,1,9618.24,1322.68,223.68,17,16-20,Valid
PO-00304,Epsilon_Group,04-02-2023,05-02-2023,Packaging,Pending,450,55.85,49.88,9,2%,Yes,1,22446,2686.5,448.92,1,0-5,Valid
PO-00305,Gamma_Co,29-09-2022,15-10-2022,Electronics,Delivered,816,48.95,43.42,45,6%,Yes,1,35430.72,4512.48,1953.9,16,16-20,Valid
PO-00306,Epsilon_Group,11-04-2023,25-04-2023,Packaging,Delivered,343,44.5,38.57,7,2%,Yes,1,13229.51,2033.99,269.99,14,11-15,Valid
PO-00307,Gamma_Co,20-10-2022,05-11-2022,MRO,Delivered,329,97.87,85.35,21,6%,No,0,28080.15,4119.08,1792.35,16,16-20,Valid
PO-00308,Alpha_Inc,10-03-2023,25-03-2023,Electronics,Delivered,1910,90.69,85.8,0,0%,Yes,1,163878,9339.9,0,15,11-15,Valid
PO-00309,Epsilon_Group,15-12-2023,18-12-2023,MRO,Delivered,933,107.99,104.29,29,3%,Yes,1,97302.57,3452.1,3024.41,3,0-5,Valid
PO-00310,Delta_Logistics,24-07-2023,29-07-2023,Raw Materials,Delivered,1683,23.09,21.88,253,15%,Yes,1,36824.04,2036.43,5535.64,5,0-5,Valid
PO-00311,Beta_Supplies,09-11-2023,18-11-2023,Packaging,Pending,247,84.11,71.97,0,0%,Yes,1,17776.59,2998.58,0,9,6-10,Valid
PO-00312,Alpha_Inc,14-05-2023,02-06-2023,MRO,Delivered,1031,102.01,98.65,0,0%,Yes,1,101708.15,3464.16,0,19,16-20,Valid
PO-00313,Alpha_Inc,08-06-2022,19-06-2022,Packaging,Delivered,1980,26.97,24.16,41,2%,Yes,1,47836.8,5563.8,990.56,11,11-15,Valid
PO-00314,Epsilon_Group,14-07-2022,03-08-2022,Raw Materials,Delivered,1584,16.46,14.2,57,4%,Yes,1,22492.8,3579.84,809.4,20,16-20,Valid
PO-00315,Beta_Supplies,31-10-2022,15-11-2022,Office Supplies,Delivered,801,80.15,70.91,0,0%,Yes,1,56798.91,7401.24,0,15,11-15,Valid
PO-00316,Beta_Supplies,11-08-2022,25-08-2022,Packaging,Delivered,193,63.86,57.46,0,0%,Yes,1,11089.78,1235.2,0,14,11-15,Valid
PO-00317,Beta_Supplies,01-03-2022,05-03-2022,Raw Materials,Delivered,658,86.62,79.85,72,11%,Yes,1,52541.3,4454.66,5749.2,4,0-5,Valid
PO-00318,Epsilon_Group,17-08-2023,04-09-2023,Electronics,Delivered,1274,24.72,23.36,37,3%,Yes,1,29760.64,1732.64,864.32,18,16-20,Valid
PO-00319,Epsilon_Group,10-07-2023,17-07-2023,Packaging,Partially Delivered,1197,88.92,78.82,31,3%,Yes,1,94347.54,12089.7,2443.42,7,6-10,Valid
PO-00320,Gamma_Co,04-03-2022,12-03-2022,Electronics,Delivered,236,28.43,28.11,11,5%,Yes,1,6633.96,75.52,309.21,8,6-10,Valid
PO-00321,Gamma_Co,18-11-2022,03-12-2022,Raw Materials,Partially Delivered,1399,25.97,22.19,62,4%,Yes,1,31043.81,5288.22,1375.78,15,11-15,Valid
PO-00322,Gamma_Co,28-02-2022,04-03-2022,Electronics,Delivered,513,24.91,22.58,29,6%,Yes,1,11583.54,1195.29,654.82,4,0-5,Valid
PO-00323,Delta_Logistics,21-02-2022,04-03-2022,MRO,Delivered,1422,83.73,76.47,198,14%,Yes,1,108740.34,10323.72,15141.06,11,11-15,Valid
PO-00324,Alpha_Inc,22-08-2023,03-09-2023,Office Supplies,Delivered,1844,76.51,73.05,0,0%,Yes,1,134704.2,6380.24,0,12,11-15,Valid
